,sentence,intent,action,scenario,labels
1. Account opened on XXXX/XXXX/XXXX and no payment history is reported from XXXX XXXX. 
I have previously disputed this account and as of the last update the account still contains the inaccurate data. Enclosed is a copy of driver 's license, copy of the reporting of the XXXX XXXX # XXXX account, Copy of the Certified Letter sent on XXXX XXXX",qa_accounts,asccounts,qa,0
2148,Someone stole my personal information and identity and opened a account with XXXX XXXX XXXX. Credit Collection Services is the debt collector for XXXX XXXX XXXX. This account is fraudulent and do not belong to me. I was XXXX from XX/XX/XXXX to XX/XX/XXXX. Please review attached supporting documentation.,qa_accounts,asccounts,qa,0
2149,"ERC/ XXXX XXXX XXXX XXXX XXXX Florida XXXX Re : Partial Acct # XXXX To Whom It May Concern : Be advised this is not a refusal to pay, but a notice that your claim is disputed and validation is requested. Under the Fair Debt collection Practices Act ( FDCPA ), I have the right to request validation of the debt you say I owe you. I am requesting proof that I am indeed the party you are asking to pay this debt, and there is some contractual obligation that is binding on me to pay this debt. This is NOT a request for "" verification '' or proof of my mailing address, but a request for VALIDATION made pursuant to 15 USC 1692g Sec. 809 ( b ) of the FDCPA. 
I respectfully request that your offices provide me with competent evidence that I have any legal obligation to pay you. At this time I will also inform you that if your offices have or continue to report invalidated information to any of the XXXX major credit bureaus ( XXXX, XXXX, XXXX ), this action might constitute fraud under both federal and state laws. Due to this fact, if any negative mark is found or continues to report on any of my credit reports by your company or the company you represent, I will not hesitate in bringing legal action against you and your client for the following : Violation of the Fair Debt Collection Practices Act and Defamation of Character. I am sure your legal staff will agree that non-compliance with this request could put your company in serious legal trouble with the FTC and other state or federal agencies. If your offices are able to provide the proper documentation as requested in the following declaration, I will require 30 days to investigate this information and during such time all collection activity must cease and desist. Also, during this validation period, if any action is taken which could be considered detrimental to any of my credit reports, I will consult with legal counsel for suit. This includes any listing of any information to a credit-reporting repository that could be inaccurate or invalidated. If your offices fail to respond to this validation request within 30 days from the date of your receipt, all references to this account must be deleted and completely removed from my credit file and a copy of such deletion request shall be sent to me immediately. It would be advisable that you and your client assure that your records are in order before I am forced to take legal action. 
Please provide the following : Agreement with your client that grants you the authority to collect on this alleged debt. ( 2nd REQUEST ) Agreement that bears the signature of the alleged debtor wherein I agreed to pay the creditor. ( 2nd REQUEST ) Any insurance claims been made by any creditor regarding this account. ( 2nd REQUEST ) Any Judgments obtained by any creditor regarding this account. ( 2nd REQUEST ) Name and address of alleged creditor. ( 2nd REQUEST ) Name on file of alleged debtor. ( 2nd REQUEST ) Alleged account number. ( 2nd REQUEST ) Address on file for alleged debtor. ( 2nd REQUEST ) Amount of alleged debt. ( 2nd REQUEST ) Date this alleged debt became payable. XXXX XXXX REQUEST ) Date of original charge off or delinquency. ( 2nd REQUEST ) Verification that this debt was assigned or sold to collector. ( 2nd REQUEST ) Complete accounting of alleged debt. ( 2nd REQUEST ) Commission for debt collector if collection efforts are successful. ( 2nd REQUEST ) Please provide the name and address of the bonding agent for Your collection agency in case legal action becomes necessary. YOUR CLAIM CAN NOT AND WILL NOT BE CONSIDERED IF ANY PORTION OF THE ABOVE IS NOT COMPLETED AND RETURNED WITH COPIES OF ALL REQUESTED DOCUMENTS. This is a request for validation made pursuant to the Fair Debt Collection Practices Act. ( 2nd REQUEST )",qa_accounts,asccounts,qa,0
2150,"I am the consigned on my daughter 's XXXX notes serviced by Navient. XXXX loan had a principal amount of $ XXXX and the second note of {$4000.00}. The notes now state the principal amounts are ~ $ XXXX and ~ $ XXXX. My daughter has been paying interest only on these notes for 11 years. She was constantly encourage to defer her loans. An income based repayment plan was never offered. My daughter and her husband are on their XXXX child. In XX/XX/XXXX, Navient increased their payment by twice the amount. My daughter 's attempts to refinance this note have been ignored and at one point a rep told her they would just get the money from me - my credit cards had plenty of room as she could see it right there in my credit report. My daughter just gave birth to her XXXX child who has a XXXX which requires XXXX. Her other XXXX children are XXXX and under. Her husband is the sole support for the family. After numerous calls with Navient and letters I called them as I had a letter that a settlement was possible- first the rep denied that was what the letter said. I offered a much lesser amount stating the funds were coming out of a small retirement account. The rep finally said she was authorized to settle for $ XXXX. When I replied this was beyond my means and could she do better after a long argument, she transferred me to a supervisor. The supervisor said she knew nothing of my call before I was transferred and proceeddd to bully me about my daughter 's note. I continued to state I wanted to find a way to settle the note that my daughter could not repay it and I could not afford to pay another bill. The tactics used are nothing short of bullying, then they roll to empathy and back to bullying. This representative told me Navient would never settle and that I could pay {$5000.00} to get my name off the loan. Forty five minutes later and exhausted I just excused myself to get back to work. The rep left me with a threatening remark about forwarding me to collections. Navient is now calling my work number at least once a week. They call my cell phone daily and they send letters in envelopes with no return address. My daughter suffers the same harassment and they are now even calling her mother-in-law. My complaint is that my daughter was n't informed on the impact of deferring her loan. They 've refused to work with her on an income based plan. While I accept responsibility for signing the loans I would expect after 12 years and all the interest already collected, Navient would make an effort to refinance this note instead of using scare tactics.",qa_accounts,asccounts,qa,0
2151,"I am applying for a home mortgage and all XXXX credit entities show an outstanding bill for XXXX ... 
I have never had an XXXX account. It does not belong to me and needs to be removed.",qa_accounts,asccounts,qa,0
2152,The company does not work with me. I have been applying for lower monthly payments for the past 5 years and they always lose my paperwork so when I call they say I never applied even though I have the application number. I always get the run around and I can not ever speak with previous customer reps. I can not afford this my Mom was diagnosed XXXX XXXX XXXX XXXX. I need help.,qa_accounts,asccounts,qa,0
2153,"I have over {$39000.00} in debt with Navient, formerly XXXX. I have been making on time payments for four years. Often, these payments have been well over the amount due. I pay {$450.00} every single month to them, and another {$150.00} on my federal student loans. I am a XXXX who makes {$XXXX} a year and barely get by. All I want is for them to reduce my interest rate. My current interest rate with them is 10.25 %. It has actually gone up as I 've made these on time payments, almost like I 'm getting penalized for being a responsible consumer. I 'd like an interest rate around 4 %. I 'd like my monthly payment to be less each month. When I called to discuss this with them, they offered me nothing. No relief. No reduction in my interest rate or payment. No acknowledgment of my on time payments, or overpayments. I feel as though they are price gouging me. They are predatory lenders, and not responsible members of the financial community. Something must change.",qa_accounts,asccounts,qa,0
2154,"We lived in apartments in 2013. I was 7 months pregnant and our ac was broken. We called maintenance everyday. they kept telling us it was fixed and it never was. We told them we were going to call code on them. They told us we could move out and not to call code and they would give us something in writing and never did. We moved out and they did n't put it on our credit report for 2 months. We found out that the apartments were sold 2 months after we moved out. We have contacted the current owners and they say they have nothing on us. They told us they may have sold the debt to Quality Recovery Services. We were never notified that this was being placed as a debt. They only reason I found out is because I checked my credit report. Also I have disputed this on XXXX and I sent them a paper requesting documentation of who the managers were, who they maintenance workers were, who owned the complex, ect. I have not received any documents from them telling who they were. They have now put this on our credit report XXXX times. XXXX for the XXXX of XXXX and XXXX for the Quality Recovery Services.",qa_accounts,asccounts,qa,0
2155,"I had a private school loan that I was unaware had gone into collection that my XXXX had cosigned for. As soon as I was made aware of the status of my loan I immediately made payment arrangements with the collection company XXXX XXXX XXXX. I set up automatic withdraws from my checking account and had paid faithfully since I became aware of the loan. 
I was leaving to go on a mission trip in XXXX XX/XX/2016 so I made certain that my payment arrangements would still be taken out of my account while I was out of the country because I knew that I would be unable to have constant internet connection during my trip in remote areas. I also had budgeted my finances accordingly to make sure I had available funds in my account to cover my monthly payments of {$87.00}. 
Unfortunately, while abroad I had to have an emergency XXXX operation which caused me to have a month long hospital stay in XXXX, XXXX. There were many complications with my XXXX and my right XXXX was not functional for several weeks post operation. I had to learn to walk again not to mention I was dealing with my travel insurance who was refusing to pay my covered expenses. 
I wrote an email to XXXX letting them know that I was abroad and going through a tough time. In my email I asked if I could postpone my payments or lower them while I was recovering in the hospital, could figure out what was going on with my insurance and make it back to the United States. They replied to me via email stating that I needed to call them at a specific number never mentioning anything about adjusting my payment arrangement. 
At this time I did n't have a data plan, was unable to independently walk or get out of bed and had limited WiFi connectivity. I messaged my father to call XXXX on my behalf and explain the situation. My father had all of my information to make such a call but XXXX refused to disclose any information or take note of what was going on. 
3 Days after I received correspondence from XXXX I had a friend check my available balance and XXXX had withdrawn the entire amount of my payment agreement for that month. I assumed that since no one was able to make contact or confirm that there would be changes made to my payment arrangements that the full amount would be withdrawn each month. 
It was a very difficult time after my emergency XXXX with medications, learning how to walk again and dealing with insurance and physical therapy. Around XXXX and a half months after I was XXXX from the hospital I started to have more complications which caused me to be re-hospitalized again in XXXX. Luckily this time I was well enough to make the trip back to the XXXX to have a second emergency XXXX XXXX which I am in the progress of recovering from currently. 
Upon returning to the XXXX, my Uncle who cosigned for the loan contacted me and said that XXXX were harassing him with rude phone calls and threats of being sued because I had defaulted on my loan. I was shocked at this news. I checked my account and saw that XXXX had stopped withdrawing my payments. I called XXXX to figure out what happened and it took 2 months of me calling and asking until they finally admitted they had stopped the payments. When I asked why, the rep said because I had asked them to in an email. I was never notified that they made XXXX changes to my payment arrangement or the stipulations of said changes. This has hurt mine and my XXXX 's credit negatively and we are still receiving harassing phone calls daily. My XXXX had a family emergency recently and needed to refinance his house and was denied because the defaulted loan is shown on his credit report. It has also effected his job because the credit cards have lowered his credit limit in which he needs because he has to travel internationally. I only owe {$1000.00}",qa_accounts,asccounts,qa,0
2156,"I sent a letter to Experian asking them to look into a number of accounts they are reporting that I need more information on. They refused saying I disputed this already. I do n't know what they call a dispute, I did at one time try calling the numbers under some of the accounts I question but all I got was bullied by debt collectors and harassed. I know I have a right to that information from Experian.",qa_accounts,asccounts,qa,0
2157,"This public record has been sitting on my report for years now. 
I filed a complaint with the City of XXXX, sent them documentation of my address etc, and they promptly removed the lien. The lien was removed because it was in fact AN ERROR, it never should have been placed on my report. At this point however a third party already sent these details to the credit bureaus. 
I 've since disputed the information with each bureau, XXXX & XXXX promptly removed it after properly reviewing the case. However, Equifax still continues to report this. Their response to my complaint was to simply contact the court who listed the information. The courts verified it was listed and removed, and the dates it was listed and removed. My complaint and my dispute was never whether I was the person in question - it was the fact that the lien was improperly filed and should not be listed on my report as a valid record. The original party who filed this is the XXXX County Recorder of Deeds, NOT the court where it was filed. This needs to be removed immediately. If Equifax inted to investigate, they must contact the ORIGINAL furnisher of the information, not a third party ( i.e. the court ). I have called Equifax several times and requested to be contacted by a manager or someone in authority to handle this, and each time I am then put on hold where all I hear for hours is hold music.",qa_accounts,asccounts,qa,0
2158,"I have XXXX in student loans, XXXX which are private loans from Navient. I am having medical issues, and require XXXX this month. I called Navient to see if they have a medical deferment or medical hardship deferment plan. They do not offer any interest free deferment plans - only plans that will lower my payment but I will have higher monthly payments more in the future. I also asked to speak with the Office of the Customer Advocate and the XXXX representatives I spoke with all told me that they did n't have the number, or they can not give me the number. The last person I spoke to said that it was Navient 's policy to not give out the Office of the Advocate 's contact information.",qa_accounts,asccounts,qa,0
2159,"CFPB Complaint Experian XXXX/XXXX/16 Account XXXX XXXX Filed a dispute with the CRA, XXXX XXXX shows account paid but failed to provide complete information. I than requested this information from XXXX XXXX the furnisher at the address provided on my credit report. ( See attached letter ) I sent this request certified and return receipt. XXXX XXXX reply was that they sold the account. ( See attached letter ) I sent my request to the only furnisher listed for this account, no other contact is provided on the Experian Credit Report, or any other credit report for this account, no address or other name. 

In the past I attempted to contact this other company XXXX XXXX, that XXXX XXXX keeps insisting I do. I sent a request to this other company certified/return receipt mail, they never responded to my direct dispute. They did however immediately take action to sue me. ( See CFPB complaint XXXX ) XXXX has already agreed to delete this account. CFPB Complaint # XXXX Company responded XXXX XXXX said : Explanation of closure Based on the complaint, XXXX XXXX XXXX # XXXX has been deleted from your XXXX credit report. In order to protect your privacy, we will mail an updated copy of your credit report as well as the full results of our reinvestigation, to the current address we have on file for you. You can expect to receive it in approximately 5 to 7 business days. If you have any further questions, please call us at XXXX, Monday-Friday, XXXX - XXXX ET. Please visit XXXX for frequently asked questions about your credit report. 
Relief We received your complaint about XXXX XXXX XXXX # XXXX in your credit report, and apologize for any difficulty you may have experienced. The item identified in your complaint has been deleted. 

Attached : letter direct dispute XXXX XXXX XXXX. Certified/return receipt/mail, Response from XXXX XXXX, Experian Credit report and this letter of this CFPB dispute",qa_accounts,asccounts,qa,0
2160,"I disputed my judgement with Equifax on XXXX XXXX, XXXX. The other XXXX bureaus had already deleted it. This was an eviction from XXXX XXXX and the courts replied to Equifax reporting satisfied/released. 1. Equifax refused to remove it stating the courts would have to send additional forms even thou the courts responded to them directly stating it was released. ( I have the conversation recorded ) 2. Equifax then RE-AGED this judgement on my credit file to XXXX XXXX to reflect it as being recent!. ( I have the form showing my score went down due to a NEW judgement being added to my report. ) 3. They also did this to another item I disputed. I have the information showing my score dropped due to a new ( bad account ) being added to my credit profile. They closed the previous account and then "" opened '' up a new account on their own. I DO NOT have a new account with this company. Equifax is maliciously causing stress to me, reporting wrong, damaging, and inaccurate information to my credit profile. My consumer rights have been violated.",qa_accounts,asccounts,qa,0
2161,"I was contacted by a company calling themselves FBCS Inc. They made claims that I owe {$1200.00} on an account from XXXX XXXX XXXX. They also stated that it was a XXXX Credit card. I have never had a XXXX XXXX. They asked for my social security number and information that I did not want to give out. They where forceful and rude. I told them it was n't my card, and that nothing like that has ever been on my Credit history, which I check frequently. They said they would send paper work out to my address so that I could claim it as fraud. The paper work is asking for my social security number and all confidential information that I do not want to share. They could not verify any purchases made with the credit card. I did some research and found that XXXX also financed XXXX and XXXX XXXX credit cards, but again I have never had either of those cards.",qa_accounts,asccounts,qa,0
2162,"I contacted protfolio recovery services in regards to XXXX debts that were showing on my credit report. While on the phone with portfolio r/s they told me they have "" XXXX accounts on file '' XXXX of which were time-barred debts I had no knowledge of. After requesting Information on XXXX debts that were NOT time barred and may be valid, I hung up with portfolio r/s and called my wife to inform her of what I found out. I have just found out that after that conversation ; my wife called portfolio r/s and they discussed these debts with her. Portfolio r/s did not have my permission to speak with my wife in regards to debts that were not "" shared '' debts. I feel portfolio was attempting to obtain acknowledgement of time-barred debts ( which I still do n't believe to be real ) in order to sue on debts I do not owe. I found this out today- XXXX XXXX, 2015 after receiving XXXX dispute letters in the mail- XXXX debts I was seeking validation on and XXXX time-barred debts I never discussed with portfolio recovery services.",qa_accounts,asccounts,qa,0
2163,"Please see Complaint # XXXX ( I have recopied it below ). It is the very same details except they are now using a different number to call from. Now they have called XXXX ( Re-copying complaint filed XXXX/XXXX/2016 as now they are using a different number ) For the last 2 months I have been receiving calls from multiple local numbers with a XXXX or XXXX area code. When I answer the calls just drop. I call the number back, and I hear music for a few seconds and someone Answers. The person comes on trying to obtain personal information from me. On XXXX XXXX, 2016, I received a call around XXXX. EST again from XXXX and the same thing happend. I answered and then the call dropped. I called back from a different number and the representative indicated they were with Halstead Financial and that they would need more information. I have not received any correspondence from this company. The representative indicated they could not provide any information to me without verification, she asked what number was receiving the calls. Although reluctant, I decided to confirm my phone number with her, because the calls are frequent and disruptive. Additionally the fact that all the calls result in hang up on their end as soon as I answer. For the last few weeks I have been monitoring my calls more and that 's when I noticed the similar number. Once I confirmed the number she was calling she asked for my social security number which refused to provide. I asked to have a letter detailing the issue sent to me and was told "" how can we send a letter if we ca n't verify who you are '' I told the representative I would not provide information and I would like my name removed from their call list. I was told that was not going to happen and that I would be receiving more calls. I have no idea what this company does or what they are claiming with respect to me. I am concerned because in XXXX of this year I was a victim of identity theft. Since that time, I have been receiving numerous calls from unknown and strange numbers, my mail was also intercepted on 2 occasions for weeks at a time, and my financial information was delivered to other addresses. I also checked and I do not see that this company is licensed as a collection agency in my state. 
Consent to publish the description of what happened",qa_accounts,asccounts,qa,0
2164,"I borrowed over much time from XXXX ( my parents could n't help me pay for college and I struggled ). My loans then went to XXXX XXXX, and then to XXXX. While my loans were with Navient, I asked many times if I was able to give some sort of lump sum payoff at a lower amount than what I owed. I was told that I could only do repayment. I found myself drowning in debt and unmanageable monthly payments, so I got referred to fedloan servcing ( myfedloan.org ). They have the seal for the US Department of Education all over all of their paperwork, emails and website so I assumed that they were a government entity, it now seems that they are a private servicer but they make it seem like they are part of the government when you talk to them ... so you are inclined to trust them. During the origination of my account with them, they told me a consolidation would be best for me and that I fit best with an income based repayment plan, with a max 20 years repayment and then I would get forgiveness. I took their advice and guidance, since that is what I was paying them for! professional advice! Today an article came up on XXXX about how there used to be a publicly published handbook to help students settle their federally owed student debt ( which all of mine is ). I then contacted an attorney and asked for some basic advice as to what my rights might be when it comes to settling a federal student loan debt. He explained to me that there are times where Navient, fedloan servcing, XXXX XXXX ALL OF THEM will do things like waiving collection charges, waiving interest, settling for 90 % of principal ... many variations of how people have actually settled their federal student loan debt. SO ... .I called back fedloan servicing ... .I explained to them that I had a lump sum of money today and I wanted to do a payoff and get some forgiveness on the balance ... the rep told me no can do. They would not take a dime off. SO WHY IS IT THAT OTHER PEOPLE CAN SETTLE THEIR FEDERAL STUDENT LOAN DEBTS AND NOT ME?!?! DO I REALLY NEED TO SPEND FOR AN ATTORNEY JUST TO SUE SOMEONE SO I CAN SETTLE A XXXX YEAR OLD DEBT!?!? I need some good faith negotaitions from them ... .I was given poor advice and now because they are trying to make money off of me, they have successfully turned my XXXX debt into what will be a XXXX debt with interest and fees. This is unfair - I WAS ALREADY BURIED IN STUDENT LOAN DEBT AND NOW THESE CONSOLIDATION PEOPLLE WHO POSE AS A GOVERNMENT AGENCY ARE GOING TO MAKE MORE THAN XXXX OFF OF ME!!!! I WILL NEVER EVER PAY THIS OFF SUCCESSFULLY!!!!!!!!!!!!! I also had to give them {$600.00} just to join their service - so now I paid them XXXX and they gave me an income based repayment plan ... .BUT AFTER I STARTED TO PAY THEY SNUCK INTO MY ENROLLMENT PAPERWORK THAT XX/XX/XXXX MY PAYMENT WILL GO FROM $ XXXX/MONTH TO $ XXXX/MONTH! WHAT?!?!?!?!?!!?!?!?! These people are making money off of me when I was already drowning ... and I truly feel as if Ive been tricked into enrolling in this service. They told me that after 20 years I would n't have to pay anymore!! that I qualified for the Obama repayment plan thing ... .now I see that 's not true. THEY LIED TO ME!!! AND NOW IM TRAPPED! HELP! ( I agreed on the phone to an income based repayment plan for 20 years and then when they sent me the docs for the approved plan, it was really for the full balance + TONS OF INTEREST! 
I do n't want to stop making my monthly payments for I fear that they will report delinquencies to my credit so I will continue to pay so I can protect myself.",qa_accounts,asccounts,qa,0
2165,"The doctor 's office is attempting to collect for a missed appointment that was cancelled I spoke to both XXXX and XXXX about it and could not make the appt and it should have been cancelled or rescheduled and was not. XXXX XXXX XXXX is the doctor and I spoke to his staff before and after the appt on numerous occasions, before and after the appointment.",qa_accounts,asccounts,qa,0
2166,"I do not owe this debt I paid the doctor office, and I told the company that called me the first of XXXX that I do not owe this doctor and not to call me again. The doctor office and me was in disput on the amount owe and was waiting on the insurance company to say what the amount was. Also, the doctor office billed the wrong insurance company when they had the correct information. I paid them on XXXX/XXXX/16 reciept number XXXX. I want this taken off my credit report.",qa_accounts,asccounts,qa,0
2167,"I ordered a XXXX service in XXXX of 2016. On XXXX XXXX, 2016 my husband 's card was charged {$440.00} for XXXX year of XXXX service. By the end of XXXX and into the first week in XXXX, XXXX failed to provide service to me. I called and called multiple times, created an online profile, requested service, called the branch and attempted to get a straight answer or time for when service was to be rendered at my home. I would get calls from "" technicians '' that they ca n't make it, they are late, they will come in another 2 hours etc., but to no avail. They never showed up. Finally, I called the branch and cancelled my service, per their satisfaction guarantee. The associate told me the service was cancelled and they will refund me the amount they owed me of {$440.00} because they failed to service my home as promised. I never received the credit. Accordingly, my husband disputed the charge with his credit card company, who after 60 days of dispute resolution with XXXX, received the credit from XXXX and credited my account with the total on XXXX XXXX, 2016. I have no heard of this issue since XXXX XXXX. Today, on XXXX XXXX, 2016, I received mail from a COLLECTIONS AGENCY : Focus Receivables Management , LLC, which states that they are going to report to my credit reporting agencies that I owe {$240.00}. I have no idea where they got this number from or why they would not have sent me a bill. I have received NO correspondence from XXXX, no bills in the mail, nothing via email, nor via my online portal. They gave me NO NOTICE whatsoever of this "" outstanding '' amount owed. All of a sudden, I received this letter of collections as reported by XXXX. It is incredible to me, that a company which neither provided the service as promised, nor could resolve the lack of service issue, nor could cancel my account properly, nor refunded me the money, has the audacity to at this point send my information to a credit reporting agency and collections agency, without providing me any advance notice, and by trying to bill me a doctored amount of {$240.00}. I have called XXXX and they are now sitting on their hands. They have no apparent urgency in trying to resolve this matter, despite the fact that in 30 days the collections agency is going to report on the status of this account. I am appalled at the lack of customer service, the cheating and manipulative tactics of this company and the lack of apology or ability to quickly resolve this matter! Furthermore, this was charged on my husband 's card, and yet they submitted my name for collections. It is clear to me now how XXXX has remained in business, and that is by unduly influencing people into buying their service, failing to render service, and then reporting them for false debt to collections agency, all the while failing to resolve the matter.",qa_accounts,asccounts,qa,0
2168,"Every year I can not get past Equifax 's ( PURPOSELY ) illegible s CAPTCHA, ( authentication challenge ) alpha-numeric box. I try 3 times unsuccessfully and the system then locks me out. This requires me to sent Equifax - by mail - a list of documents in order to receive my free annual credit report. I do not have this issue with XXXX XXXX or XXXX. I have lodged a complaint once before to no avail. CFPB has not been successful in dealing with this OBVIOUSLY and PURPOSEFULLY underhanded attempt to force citizens to the onerous task of mailing sensitive documents to them. The obvious reason is to get requestors to just give up and go away. I hold CFPB accountable for not fining or sanctioning Equifax. Otherwise this will never be resolved. Please respond with a corrective action detailing what, if any, pressure you can bring to bear on Equifax.",qa_accounts,asccounts,qa,0
2169,"Midland Funding LLC sent false debt collection information to XXXX XXXX XXXX Attorneys. The original creditor is XXXX XXXX Bank, XXXX. The debt in the amount of {$590.00} do not belong to me nor have I done any business with either of them. I notified the Attorneys office and they are suppose to remove this false claim from my name. What upsets me the most is that Midland Funding LLC assumed individuals with the same last name is associated with a debt their trying to collect. I 'm tired of these credit card companies submitting false claims and the credit bureaus are just as bad accepting false information.",qa_accounts,asccounts,qa,0
2170,"I continue to receive auto-letters from Experian stating that they wo n't even investigate this and that they stay on my file for 7-10 years. I would have NO problem with that if they were reporting this correctly, but they are n't! I 've asked to see the actual petition that they are using to verify this information and they have refused to send it. Congress states that the only legal form of verification is firsthand knowledge and the FCRA states that the bureaus must have these docs in their hands PRIOR to even reporting them! So why should it be so difficult to get this information from them if they actually have it? It 's because they do n't! They do n't do that unless they feel that they are about to be sued! Well, I have now have an attorney on this and have gotten the attorney general of CA involved because they refuse to correct my credit report and continue to send me garbage auto-letters each month. 

Here is my dispute with them and you 'll also find the public records page attached along with the letter in full and my identification : US BKPT CT CA XXXX XXXX The date "" XX/XX/2009 '' has the wrong date and is NOT right The docket # XXXX is not correct - please send me the physical petition You do not have the court listed correct : US BKPT CT is abbreviated and this is not accurate - this must be listed accurately, without abbreviations, and completely You have no plaintiff listed",qa_accounts,asccounts,qa,0
2171,currently reporting XXXX invalid debts based on false claims and / or false representations.,qa_accounts,asccounts,qa,0
2172,"There is an account listed from XXXX XXXX XXXX which has an inaccurate late payment remark, all my accounts have always been paid as agreed. Please correct this issue ASAP and see attached",qa_accounts,asccounts,qa,0
2173,"I am having financial difficulties and XXXX XXXX XXXX continuously calls my cell and work phone. I have asked that they not call my place of employment because we are n't allowed personal calls and the calls are recorded, but they continue to call.",qa_accounts,asccounts,qa,0
2174,"I, XXXX XXXX disputed a debt that I do not owe. The credit bureaus continued to report this false information. They contend that the debt is verified while I sent and received a letter from the debt collector that they can not find any account i their office.",qa_accounts,asccounts,qa,0
2175,"This debt is from a residence of 4 years ago, we were never sent a letter of intent to collect a debt. I did not receive a notice of right to dispute, nor did I receive any phone calls to collect a debt from XXXX XXXX, as I did n't realize I was being charged. Upon review of my credit report, the balance was sent to collections. I called the collection company to offer a settlement of {$500.00} and she laughed at me over the phone, lied to me about her title at the company, and then was very offensive, talking to me like a child. She offered me a settlement amount that was over my means, telling me that her supervisor approved that amount. When I asked to speak to a different supervisor, she stated "" I AM THE SUPERVISOR LADY '', and she was very rude and offensive. I then spoke to another "" supervisor '' who stated she was the supervisor, and unfortunately they could n't help me lower the settlement amount.",qa_accounts,asccounts,qa,0
2176,"Hello, Equifax reports the following errors as of XX/XX/2017 via my consumer reports : 1. Unknown creditor with no provided contact information, {$300.00} ( see attached ) 2. Unknown creditor with no provided contact information, {$100.00} ( see attached ) 3. XXXX XXXX XXXX is current and paid as agreed 4. XXXX XXXX is current and paid as agreed. 

Thank you",qa_accounts,asccounts,qa,0
2177,"I previously sent a dispute for this company to provide me with documentation showing how I owed this debt and they only updated the XXXX credit bureaus with a statement that it is validated. I would like to know how this company verified the debt as being mine and what methods were use to verify the debt is mine. If they can not provide me with this information in a timely manner, this debt must be removed and updated with all XXXX credit bureaus",qa_accounts,asccounts,qa,0
2178,The debt collectors are calling back to back at least XXXX times a day,qa_accounts,asccounts,qa,0
2179,The loan provider took me out of deferment while I am still enrolled in school.,qa_accounts,asccounts,qa,0
2180,"This morning XX/XX/2016 I received a phone call during my working hours by a collection company call Quality Recovery Service, Inc My boss told the woman that was in classroom with my students and could she take a message. The woman said no because I really need to speak to her about a personal issues. I have ask them not to call me on my job at all but they did anyway by harassment me. She was very unprofessional and extroidnarily accusatory towards me on the phone. The woman on phone stated that she 's been trying to call me but I have n't received no phone calls on my personal phone but on my job only. Then she threatened me by saying she will have my wages garnish and and take legal actions towards me if I do n't make any payments. She was so rude on phone with and hung up the phone on me.",qa_accounts,asccounts,qa,0
2181,"I applied for a credit card for XXXX with XXXX Bank Creditor, I got my denial letter stating my credit score was low of XXXX from Experian at XXXX Experian XXXX, XXXX XXXX XXXX XXXX, Tx XXXX. However, I went to Experian to obtain my credit score and it states XXXX. I check my credit score regularly and it has not been that low. I have called XXXX Bank and they told me to dispute with Experian because that is where they got the information, so when I called Experian they told me I needed to call back to the bank to figure out "" what model they used to pull the credit score? '' He would n't let me make a dispute or speak with a superior and kept telling me to call back to the bank. So I called back to XXXX bank and they told me they do not give out those information nor can find out how to find that out. I need to find out where they obtained this credit score because it has denied me a credit card and also affect my credit inquire.",qa_accounts,asccounts,qa,0
2182,"I contacted them to work on a resolution, and at that time advised them the only number to reach me at was my personal number, which they had, and asked them to remove a XXXX party 's phone number, which they verified was removed. The following day they called that same number they said they would n't..",qa_accounts,asccounts,qa,0
2183,"Complaint : XXXX XXXX XXXX : After paying to get my XXXX credit Scores and account information:1. Why is Transunion showing my fico score of XXXX, when XXXX shows XXXX, and XXXX shows XXXX? 
2. Why on my credit report is the foreclosed property from XXXX stillon Transunion reporting and it has been completely removed from XXXXand XXXX? 
3. As the consumer financial protection bureau knowsA : The mortgage abuses from XXXX and all banks and wall streetcaused this foreclosure and short sale nightmare. It was not causedby the millions of consumers in USA, or the millions living in XXXX. 
and XXXX county. 

4. Is Transunion willfully, maliciously abusing me and millions of other consumers? 
A : What criteria is Transunion using to have my fico score at XXXX vs XXXX?",qa_accounts,asccounts,qa,0
2184,"I have requested to receive a credit report from Experian and was unable to do so online. I have gone into my bank where I have an active credit card and when they pull up my credit report through Experian, it says I am a minor when I am XXXX years old. I have tried to dispute this information from the credit score that I eventually received through the mail from Experian, but when I enter in the report number, it brings up nothing or says it is invalid. This is the report number that they issued me with my credit score. They also only provided me with my actual score, not a credit report/history. I am unable to dispute the wrong information that is saying I am a minor, which is also holding me back from being able to raise my current credit card limit, or obtain any new lines of credit.",qa_accounts,asccounts,qa,0
2185,There is a {$730.00} balance through XXXX XXXX XXXX XXXX that XXXX XXXX XXXX claims to have no knowledge of. They keep asking about services I have never had through XXXX XXXX XXXX and there is no number relating back to my name or social. XXXX ( XXXX XXXX ) is the creditor and I keep receiving mail from them about this anonymous debt.,qa_accounts,asccounts,qa,0
2186,"Original creditor : XXXX, XXXX. 
False account balance : {$59.00} XXXX has been harassing me about this bill of {$59.00} for a while, the reason I have not responded to them is because they actually OWE ME MONEY. The original amount they had charged me was more than the above amount of {$59.00}. I paid them the original amount a while ago, and have the bank check reference to prove it. 

